Motility,Gram staining,Aerophilicity,Extreme environment tolerance,Biofilm formation,Animal pathogenicity,Biosafety level,Health association,Host association,Plant pathogenicity,Spore formation,Hemolysis,Cell shape,Member of WA subset,sample
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,TRUE,NA,FALSE,NA,bacillus,TRUE,GCA_900094795.1_IMG-taxon_2616644846_annotated_assembly_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCA_900106975.1_IMG-taxon_2671180037_annotated_assembly_genomic.fasta
TRUE,gram stain negative,aerobic,TRUE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCA_900101755.1_IMG-taxon_2663762780_annotated_assembly_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,TRUE,FALSE,gamma,bacillus,TRUE,GCF_001718655.1_ASM171865v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,TRUE,FALSE,biosafety level 2,NA,TRUE,FALSE,FALSE,NA,bacillus,TRUE,GCA_022369495.1_ASM2236949v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,TRUE,TRUE,NA,tail,TRUE,GCF_006547165.1_ASM654716v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCA_000285835.2_ASM28583v2_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCA_018555685.1_ASM1855568v1_genomic.fasta
FALSE,NA,anaerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,NA,NA,coccus,TRUE,GCF_002287235.1_ASM228723v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,TRUE,NA,bacillus,TRUE,GCA_014203355.1_ASM1420335v1_genomic.fasta
TRUE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_030268905.1_ASM3026890v1_genomic.fasta
FALSE,gram stain positive,aerobic,TRUE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCF_003288095.1_ASM328809v1_genomic.fasta
